유사도,동일카테고리,대표ID,대표제목,대표조회,통합후보ID,통합후보제목,후보색인,후보slug,대표slug
"67%","Y","600","CORS No Access-Control-Allow-Origin 에러 5분 진단·해결 코드","2","744","CORS 에러 해결: 콘솔 에러 원문별 진단표 + 서버별 복붙 설정","index","cors-에러-해결-콘솔-에러-원문별-진단표-서버별-복붙-설정","cors-no-access-control-allow-origin-에러-5분-진단해결-코드"
"62%","N","48","LLM 기반 워크플로우의 신뢰성 확보: Saga 패턴과 Event Sourcing으로 분산 트랜잭션 문제 해결하기","4","561","MSA 분산 트랜잭션, SAGA 패턴 vs 이벤트 소싱(ES) 선택 가이드","noindex","msa-분산-트랜잭션-saga-패턴-vs-이벤트-소싱es-선택-가이드","llm-기반-워크플로우의-신뢰성-확보-saga-패턴과-event-sourcing으로-분산-트랜잭션-문제-해결하기"
"59%","Y","630","PKIX path building failed 해결법: keytool cacerts import 5분 가이드","5","791","PKIX path building failed / SunCertPathBuilderException 30분 해결 런북","index","pkix-path-building-failed-suncertpathbuilderexception-30분-해결-런북","pkix-path-building-failed-해결법-keytool-cacerts-import-5분-가이드"
"56%","Y","606","Too many open files 해결: ulimit·limits.conf·systemd LimitNOFILE 실전","3","781","Too many open files(EMFILE errno 24) 30초 진단·복구 런북","index","too-many-open-filesemfile-errno-24-30초-진단복구-런북","too-many-open-files-해결-ulimitlimitsconfsystemd-limitnofile-실전"
"54%","N","592","Docker permission denied 해결: daemon socket 에러 sudo 없이 끝내기","4","740","Docker permission denied /var/run/docker.sock 에러 5분 해결법","index","docker-permission-denied-varrundockersock-에러-5분-해결법","docker-permission-denied-해결-daemon-socket-에러-sudo-없이-끝내기"
"54%","Y","755","npm ERR! code ERESOLVE 해결법 — 에러 원문 복붙 진단 런북","2","620","npm ERESOLVE unable to resolve dependency tree 원인별 해결법","index","npm-eresolve-unable-to-resolve-dependency-tree-원인별-해결법","npm-err-code-eresolve-해결법-에러-원문-복붙-진단-런북"
"52%","Y","599","PostgreSQL 'too many clients already' 5분 진단부터 PgBouncer 해결까지","4","788","PostgreSQL too many clients already 30초 판정 복구 런북","index","postgresql-too-many-clients-already-30초-판정-복구-런북","postgresql-too-many-clients-already-5분-진단부터-pgbouncer-해결까지"
"52%","Y","704","Redis OOM 에러(used memory > maxmemory) 5분 응급처치 가이드","2","612","Redis OOM command not allowed 에러 5분 진단·복구 가이드","index","redis-oom-command-not-allowed-에러-5분-진단복구-가이드","redis-oom-에러used-memory-maxmemory-5분-응급처치-가이드"
"51%","Y","640","SSH Connection closed/reset by peer 5분 진단·복구 (fail2ban·MaxStartups)","10","765","SSH Connection closed by remote host 에러 원문별 트러블슈팅","index","ssh-connection-closed-by-remote-host-에러-원문별-트러블슈팅","ssh-connection-closedreset-by-peer-5분-진단복구-fail2banmaxstartups"
"51%","Y","732","파이썬 의존성 충돌 해결: venv부터 Poetry까지 완벽 환경 구축 로드맵","4","692","Python 'Could not find a version that satisfies' 에러, 의존성 충돌 완벽 해결 가이드 (pip/Poetry)","index","python-could-not-find-a-version-that-satisfies-에러-의존성-충돌-완벽-해결-가이드-pippoetry","파이썬-의존성-충돌-해결-venv부터-poetry까지-완벽-환경-구축-로드맵"
"50%","Y","626","SELinux Permission denied 해결법 — chmod 정상인데 막힐 때(avc denied)","3","775","SELinux avc denied 30초 진단 런북: nginx·httpd 접근 거부 해결","index","selinux-avc-denied-30초-진단-런북-nginxhttpd-접근-거부-해결","selinux-permission-denied-해결법-chmod-정상인데-막힐-때avc-denied"
"49%","Y","589","2026 ISMS-P 인증 준비 체크리스트: 102개 항목·빈출 결함 실무 가이드","3","778","ISMS-P 인증 의무대상·신청절차·비용 총정리 (2026)","index","2026-isms-p-인증-준비-체크리스트-의무대상절차비용-총정리","2026-isms-p-인증-준비-체크리스트-102개-항목빈출-결함-실무-가이드"
"49%","Y","638","fail2ban이 IP 차단 안 할 때: status 0 banned 5분 진단 가이드","2","777","fail2ban SSH 차단 설정 5분 완성 — jail.local 복붙 예제","index","fail2ban-ssh-차단-설정-5분-완성-jaillocal-복붙-예제","fail2ban이-ip-차단-안-할-때-status-0-banned-5분-진단-가이드"
"48%","Y","713","Kubernetes PVC Pending 문제, StorageClass 매칭 실패 원인부터 완벽 디버깅 가이드","5","673","K8s PVC Pending 해결 가이드: 바인딩 실패 원인 5가지 완벽 진단법","index","k8s-pvc-pending-해결-가이드-바인딩-실패-원인-5가지-완벽-진단법","kubernetes-pvc-pending-문제-storageclass-매칭-실패-원인부터-완벽-디버깅-가이드"
"47%","Y","602","nginx 504 Gateway Timeout 해결: proxy_read_timeout과 업스트림 타임아웃","2","742","nginx 502 Bad Gateway 원인 진단표·복붙 명령어로 5분 해결","index","nginx-502-bad-gateway-원인-진단표복붙-명령어로-5분-해결","nginx-504-gateway-timeout-해결-proxyreadtimeout과-업스트림-타임아웃"
"47%","Y","597","systemd 자동 재시작 가이드: Restart=always vs on-failure와 start-limit-hit 해결","2","782","systemd Restart=always·on-failure 예제와 무한재시작 방지법","index","systemd-restartalwayson-failure-예제와-무한재시작-방지법","systemd-자동-재시작-가이드-restartalways-vs-on-failure와-start-limit-hit-해결"
"46%","Y","641","kubectl Unauthorized(You must be logged in) 401 해결 6가지","4","767","kubectl Unauthorized 원인별 3분 진단·복구 런북 (EKS 재발급)","index","kubectl-unauthorized-원인별-3분-진단복구-런북-eks-재발급","kubectl-unauthorizedyou-must-be-logged-in-401-해결-6가지"
"46%","Y","608","certbot 갱신 실패 해결: certificate expired 원인별 트러블슈팅","1","738","certbot renew 실패·NET::ERR_CERT_DATE_INVALID 30분 복구 가이드","index","certbot-renew-실패neterrcertdateinvalid-30분-복구-가이드","certbot-갱신-실패-해결-certificate-expired-원인별-트러블슈팅"
"45%","Y","690","Kubernetes 네트워크 지연, eBPF로 근본 원인 진단하고 성능 최적화하는 완벽 가이드","3","689","쿠버네티스 네트워크 지연, CNI 오버헤드부터 eBPF까지 근본 원인 진단 가이드","index","쿠버네티스-네트워크-지연-cni-오버헤드부터-ebpf까지-근본-원인-진단-가이드","kubernetes-네트워크-지연-ebpf로-근본-원인-진단하고-성능-최적화하는-완벽-가이드"
"45%","Y","752","OOMKilled exit code 137 해결: kubectl 30초 진단·5분 복구 런북","4","603","OOMKilled exit code 137 해결: Pod 메모리 limit 진단부터 튜닝까지","index","oomkilled-exit-code-137-해결-pod-메모리-limit-진단부터-튜닝까지","oomkilled-exit-code-137-해결-kubectl-30초-진단5분-복구-런북"
"45%","Y","610","java.lang.OutOfMemoryError: Java heap space 30분 진단·해결 가이드","2","770","OutOfMemoryError 5계열 30초 진단 런북: heap space vs Metaspace 복구 명령","index","outofmemoryerror-5계열-30초-진단-런북-heap-space-vs-metaspace-복구-명령","javalangoutofmemoryerror-java-heap-space-30분-진단해결-가이드"
